"hr","workingday","casual","registered","cnt"
0,0,16.5757575757576,73.8311688311688,90.4069264069264
1,0,12.4502164502165,56.7575757575758,69.2077922077922
2,0,10.2640692640693,42.2164502164502,52.4805194805195
3,0,6.34199134199134,18.987012987013,25.3290043290043
4,0,2.22510822510823,5.8961038961039,8.12121212121212
5,0,1.65800865800866,6.69264069264069,8.35064935064935
6,0,3.78787878787879,14.7922077922078,18.5800865800866
7,0,8.60606060606061,34.8008658008658,43.4069264069264
8,0,20.4242424242424,85.2294372294372,105.65367965368
9,0,45.017316017316,126.606060606061,171.623376623377
10,0,79.2683982683983,176.640692640693,255.909090909091
11,0,106.65367965368,208.662337662338,315.316017316017
12,0,126.246753246753,240.012987012987,366.25974025974
13,0,136.424242424242,236.307359307359,372.731601731602
14,0,139.593073593074,225.051948051948,364.645021645022
15,0,136.502164502165,222.311688311688,358.813852813853
16,0,128.614718614719,224.112554112554,352.727272727273
17,0,111.813852813853,211.735930735931,323.549783549784
18,0,83.8571428571429,195.982683982684,279.839826839827
19,0,65.2640692640693,165.406926406926,230.670995670996
20,0,46.5627705627706,127.419913419913,173.982683982684
21,0,35.991341991342,105.454545454545,141.445887445887
22,0,27.9350649350649,87.6233766233766,115.558441558442
23,0,19.0562770562771,66.5021645021645,85.5584415584416
0,1,7.1062124248497,29.4589178356713,36.565130260521
1,1,3.67334669338677,12.7134268537074,16.3867735470942
2,1,2.08617234468938,6.38877755511022,8.4749498997996
3,1,0.857715430861723,3.79759519038076,4.65531062124249
4,1,0.721442885771543,4.39278557114228,5.11422845691383
5,1,1.26052104208417,23.4529058116232,24.7134268537074
6,1,4.29258517034068,97.5911823647295,101.88376753507
7,1,12.122244488978,276.743486973948,288.865731462926
8,1,22.1302605210421,452.008016032064,474.138276553106
9,1,24.1663326653307,215.899799599198,240.066132264529
10,1,31.0180360721443,103.535070140281,134.553106212425
11,1,37.372745490982,119.905811623246,157.278557114228
12,1,41.1923847695391,158.823647294589,200.016032064128
13,1,42.4829659318637,155.549098196393,198.032064128257
14,1,45.7775551102204,137.426853707415,183.204408817635
15,1,46.2404809619239,154.687374749499,200.927855711423
16,1,48.3446893787575,244.77755511022,293.122244488978
17,1,56.8957915831663,468.394789579158,525.290581162325
18,1,50.3507014028056,440.889779559118,491.240480961924
19,1,40.939879759519,306.763527054108,347.703406813627
20,1,31.3066132264529,217.911823647295,249.218436873747
21,1,24.561122244489,161.352705410822,185.913827655311
22,1,19.5330661322645,118.579158316633,138.112224448898
23,1,13.3527054108216,75.1783567134269,88.5310621242485
